HpGP-COL-003	100.00	1	1	S1	907240	                    Helicobacter pylori Gambia94/24
HpGP-COL-004	100.00	1	1	S1	765962	                    Helicobacter pylori SJM180
HpGP-COL-005	100.00	1	1	S1	765963	                    Helicobacter pylori PeCan4
HpGP-COL-006	100.00	1	1	S1	907240	                    Helicobacter pylori Gambia94/24
HpGP-COL-008	100.00	1	1	S1	765962	                    Helicobacter pylori SJM180
HpGP-COL-010	100.00	1	1	S1	592205	                    Helicobacter pylori B38
HpGP-COL-102	100.00	1	1	S1	907240	                    Helicobacter pylori Gambia94/24
HpGP-COL-103	100.00	1	1	S2	985080	                      Helicobacter pylori 2018
HpGP-COL-104	100.00	1	1	S1	765962	                    Helicobacter pylori SJM180
HpGP-COL-105	100.00	1	1	S1	907240	                    Helicobacter pylori Gambia94/24
HpGP-COL-106	100.00	1	1	S1	1163743	                    Helicobacter pylori HUP-B14
HpGP-COL-107	100.00	1	1	S1	1426844	                    Helicobacter pylori NY40
HpGP-COL-108	100.00	1	1	S1	907240	                    Helicobacter pylori Gambia94/24
HpGP-COL-109	100.00	1	1	S1	907240	                    Helicobacter pylori Gambia94/24
HpGP-COL-110	100.00	1	1	S1	1426844	                    Helicobacter pylori NY40
HpGP-COL-112	100.00	1	1	S1	1426844	                    Helicobacter pylori NY40
HpGP-COL-113	100.00	1	1	S1	765962	                    Helicobacter pylori SJM180
HpGP-COL-114	100.00	1	1	S1	1426844	                    Helicobacter pylori NY40
HpGP-COL-118	100.00	1	1	S2	985080	                      Helicobacter pylori 2018
HpGP-COL-119	100.00	1	1	S1	765962	                    Helicobacter pylori SJM180
HpGP-COL-120	100.00	1	1	S1	907240	                    Helicobacter pylori Gambia94/24
HpGP-COL-121	100.00	1	1	S1	765962	                    Helicobacter pylori SJM180
HpGP-COL-122	100.00	1	1	S1	907240	                    Helicobacter pylori Gambia94/24
HpGP-COL-310	100.00	1	1	S1	907239	                    Helicobacter pylori SouthAfrica7
HpGP-COL-318	100.00	1	1	S1	1426844	                    Helicobacter pylori NY40
HpGP-CRI-001	100.00	1	1	S1	1055527	                    Helicobacter pylori ELS37
HpGP-CRI-002	100.00	1	1	S1	765962	                    Helicobacter pylori SJM180
HpGP-CRI-003	100.00	1	1	S1	1055527	                    Helicobacter pylori ELS37
HpGP-CRI-004	100.00	1	1	S2	985080	                      Helicobacter pylori 2018
HpGP-CRI-005	100.00	1	1	S1	765962	                    Helicobacter pylori SJM180
HpGP-CRI-006	100.00	1	1	S1	1426844	                    Helicobacter pylori NY40
HpGP-CRI-007	100.00	1	1	S2	985080	                      Helicobacter pylori 2018
HpGP-CRI-008	100.00	1	1	S1	1055527	                    Helicobacter pylori ELS37
HpGP-DOM-001	100.00	1	1	S1	1426844	                    Helicobacter pylori NY40
HpGP-DOM-002	100.00	1	1	S1	907240	                    Helicobacter pylori Gambia94/24
HpGP-DOM-003	100.00	1	1	S1	1426844	                    Helicobacter pylori NY40
HpGP-DOM-004	100.00	1	1	S2	985080	                      Helicobacter pylori 2018
HpGP-DOM-005	100.00	1	1	S1	1426844	                    Helicobacter pylori NY40
HpGP-DOM-006	100.00	1	1	S2	985080	                      Helicobacter pylori 2018
HpGP-DOM-007	100.00	1	1	S2	985080	                      Helicobacter pylori 2018
HpGP-DOM-008	100.00	1	1	S1	907240	                    Helicobacter pylori Gambia94/24
HpGP-DOM-009	100.00	1	1	S1	1426844	                    Helicobacter pylori NY40
HpGP-DOM-010	100.00	1	1	S1	907240	                    Helicobacter pylori Gambia94/24
HpGP-DOM-011	100.00	1	1	S2	985080	                      Helicobacter pylori 2018
HpGP-FRA-001	100.00	1	1	S1	1426844	                    Helicobacter pylori NY40
HpGP-FRA-002	100.00	1	1	S1	357544	                    Helicobacter pylori HPAG1
HpGP-FRA-003	100.00	1	1	S1	592205	                    Helicobacter pylori B38
HpGP-FRA-004	100.00	1	1	S1	1163743	                    Helicobacter pylori HUP-B14
HpGP-FRA-005	100.00	1	1	S1	1163743	                    Helicobacter pylori HUP-B14
HpGP-FRA-006	100.00	1	1	S1	592205	                    Helicobacter pylori B38
HpGP-FRA-007	100.00	1	1	S1	907237	                    Helicobacter pylori Lithuania75
HpGP-FRA-008	100.00	1	1	S1	592205	                    Helicobacter pylori B38
HpGP-FRA-009	100.00	1	1	S1	907240	                    Helicobacter pylori Gambia94/24
HpGP-FRA-010	100.00	1	1	S1	1163743	                    Helicobacter pylori HUP-B14
HpGP-FRA-011	100.00	1	1	S1	907237	                    Helicobacter pylori Lithuania75
HpGP-FRA-012	100.00	1	1	S1	357544	                    Helicobacter pylori HPAG1
HpGP-FRA-013	100.00	1	1	S1	592205	                    Helicobacter pylori B38
HpGP-FRA-014	100.00	1	1	S1	357544	                    Helicobacter pylori HPAG1
HpGP-FRA-015	100.00	1	1	S1	592205	                    Helicobacter pylori B38
HpGP-FRA-016	100.00	1	1	S1	1426844	                    Helicobacter pylori NY40
HpGP-FRA-017	100.00	1	1	S1	1426844	                    Helicobacter pylori NY40
HpGP-FRA-018	100.00	1	1	S1	907239	                    Helicobacter pylori SouthAfrica7
HpGP-FRA-019	100.00	1	1	S1	592205	                    Helicobacter pylori B38
HpGP-FRA-020	100.00	1	1	S1	1055527	                    Helicobacter pylori ELS37
HpGP-FRA-021	100.00	1	1	S1	907237	                    Helicobacter pylori Lithuania75
HpGP-GER-001	100.00	1	1	S1	1426844	                    Helicobacter pylori NY40
HpGP-GER-002	100.00	1	1	S1	907237	                    Helicobacter pylori Lithuania75
HpGP-GER-003	100.00	1	1	S1	907237	                    Helicobacter pylori Lithuania75
HpGP-GER-004	100.00	1	1	S1	592205	                    Helicobacter pylori B38
HpGP-GER-005	100.00	1	1	S1	907237	                    Helicobacter pylori Lithuania75
HpGP-GER-006	100.00	1	1	S1	907237	                    Helicobacter pylori Lithuania75
HpGP-GER-007	100.00	1	1	S1	357544	                    Helicobacter pylori HPAG1
HpGP-GER-009	100.00	1	1	S1	1163743	                    Helicobacter pylori HUP-B14
HpGP-GER-010	100.00	1	1	S1	357544	                    Helicobacter pylori HPAG1
HpGP-GER-012	100.00	1	1	S1	1321939	                    Helicobacter pylori UM037
HpGP-GER-013	100.00	1	1	S1	357544	                    Helicobacter pylori HPAG1
HpGP-GER-015	100.00	1	1	S1	907238	                    Helicobacter pylori India7
HpGP-GER-016	100.00	1	1	S1	907237	                    Helicobacter pylori Lithuania75
HpGP-GER-018	100.00	1	1	S1	592205	                    Helicobacter pylori B38
HpGP-GER-019	100.00	1	1	S1	592205	                    Helicobacter pylori B38
HpGP-GER-020	100.00	1	1	S1	907237	                    Helicobacter pylori Lithuania75
HpGP-GER-021	100.00	1	1	S1	592205	                    Helicobacter pylori B38
HpGP-GHA-003	100.00	1	1	S2	985080	                      Helicobacter pylori 2018
HpGP-GHA-009	100.00	1	1	S2	985080	                      Helicobacter pylori 2018
HpGP-GMB-003	100.00	1	1	S1	907240	                    Helicobacter pylori Gambia94/24
HpGP-GMB-004	100.00	1	1	S1	907240	                    Helicobacter pylori Gambia94/24
HpGP-GMB-007	100.00	1	1	S1	907240	                    Helicobacter pylori Gambia94/24
HpGP-GMB-008	100.00	1	1	S1	907240	                    Helicobacter pylori Gambia94/24
